Constituency,Name,Gender,Party,State,Education
Maldaha Dakshin,Abu Hasem Khan Chowdhury (dalu),Male,INC,West Bengal,Doctorate
Maldaha Uttar,Khagen Murmu,Male,BJP,West Bengal,Graduate
Mathurapur,Choudary Mohan Jatua,Male,TMC,West Bengal,Post Graduate
Medinipur,Dilip Ghosh,Male,BJP,West Bengal,10th Pass
Murshidabad,Abu Taher Khan,Male,TMC,West Bengal,8th Pass
Purulia,Jyotirmay Singh Mahato,Male,BJP,West Bengal,Graduate Professional
Raiganj,Debasree Chaudhuri,Male,BJP,West Bengal,Post Graduate
Ranaghat,Jagannath Sarkar,Male,BJP,West Bengal,Graduate Professional
Serampore,Kalyan Banerjee,Male,TMC,West Bengal,Graduate Professional
Tamluk,Dibyendu Adhikari,Male,TMC,West Bengal,Graduate
Uluberia,Sajda Ahmed,Male,TMC,West Bengal,Graduate
