ï»¿Constituency,Name,Gender,Party,State,Education,Electors,Votes,Turn out,Margin,Margin %,Type
Banswara,Kanakmal Katara,Male,BJP,Rajasthan,Graduate Professional,"19,20,325","14,39,671",0.765,"3,05,464",0.212,ST
Bapatla,Nandigam Suresh,Female,YSRCP,Andhra Pradesh,8th Pass,"13,61,646","12,66,492",0.94,16065,0.013,
Barabanki,Upendra Singh Rawat,Male,BJP,Uttar Pradesh,Post Graduate,"17,62,832","11,55,341",0.66,"1,10,140",0.095,SC
Baramati,Supriya Sadanand Sule,Female,NCP,Maharashtra,Graduate,"20,25,795","13,04,728",0.648,"1,55,774",0.119,GEN
Baramulla,Mohammad Akbar Lone,Male,Jammu and Kashmir National Conference,Jammu and Kashmir,Graduate Professional,"11,90,745","4,55,550",0.389,30233,0.066,
Barasat,Kakoli Ghosh Dastidar,Female,TMC,West Bengal,Post Graduate,"18,82,204","13,94,766",0.751,"1,09,983",0.079,GEN
Bardhaman Purba,Sunil Kumar Mondal,Male,TMC,West Bengal,Graduate Professional,"18,36,635","14,39,286",0.79,89311,0.062,SC
Bardoli,Prabhubhai Nagarbhai Vasava,Male,BJP,Gujarat,Others,"17,79,851","13,48,038",0.77,"2,15,447",0.16,ST
Bareilly,Santosh Kumar Gangwar,Male,BJP,Uttar Pradesh,Graduate Professional,"17,60,865","10,68,342",0.609,"1,67,282",0.157,GEN
Bargarh,Suresh Pujari,Male,BJP,Odisha,Post Graduate,"15,30,044","12,47,912",0.825,63939,0.051,GEN
Barmer,Kailash Choudhary,Male,BJP,Rajasthan,Graduate,"23,20,339","14,22,271",0.621,"3,23,808",0.228,GEN
Barpeta,Abdul Khaleque,Male,INC,Assam,Post Graduate,"14,49,560","14,58,549",1.013,"1,40,307",0.096,GEN
Barrackpore,Arjun Singh,Male,BJP,West Bengal,10th Pass,"15,51,157","11,04,517",0.72,14857,0.013,GEN
Basirhat,Nusrat Jahan Ruhi,Female,TMC,West Bengal,12th Pass,"18,33,511","14,33,339",0.787,"3,50,369",0.244,GEN
Bastar,Deepak Baij,Male,INC,Chhattisgarh,Graduate,"13,57,443","9,12,846",0.703,38982,0.043,ST
Basti,Harish Dwivedi,Male,BJP,Uttar Pradesh,Post Graduate,"18,39,900","10,54,539",0.579,30354,0.029,GEN
Bathinda,Harsimrat Kaur Badal,Female,SAD,Punjab,10th Pass,"15,89,895","12,00,810",0.764,21772,0.018,GEN
Beed,Pritam Gopinath Munde,Female,BJP,Maharashtra,Post Graduate,"16,21,102","13,52,399",0.836,"1,68,368",0.124,GEN
Begusarai,Giriraj Singh,Male,BJP,Bihar,Graduate,"19,42,769","12,25,594",0.641,"4,22,217",0.344,GEN
Belgaum,Suresh Chanabasappa Angadi,Male,BJP,Karnataka,Graduate Professional,"17,49,746","12,05,229",0.691,"3,91,304",0.325,GEN
Bellary,Y. Devendrappa,Male,BJP,Karnataka,5th Pass,"17,13,330","12,21,926",0.719,55707,0.046,ST
Berhampur,Chandra Sekhar Sahu,Male,Biju Janata Dal,Odisha,10th Pass,"14,33,671","9,89,910",0.701,94844,0.096,GEN
Betul,Durga Das Uikey,Male,BJP,Madhya Pradesh,Post Graduate,"17,02,517","13,57,857",0.811,"3,60,241",0.265,ST
Bhadohi,Ramesh Chand Bind,Male,BJP,Uttar Pradesh,10th Pass,"18,86,673","10,39,390",0.556,43615,0.042,GEN
Bhadrak,Manjulata Mandal,Female,Biju Janata Dal,Odisha,Graduate,"15,83,464","12,23,754",0.777,28803,0.024,SC
Bhagalpur,Ajay Kumar Mandal,Male,JDU,Bihar,8th Pass,"18,11,980","10,42,518",0.593,"2,77,630",0.266,GEN
Bhandara-Gondiya,Sunil Baburao Mendhe,Male,BJP,Maharashtra,Others,"17,56,518","12,44,931",0.715,"1,97,394",0.159,GEN
Bharatpur,Ranjeeta Koli,Female,BJP,Rajasthan,8th Pass,"18,97,465","11,46,797",0.607,"3,18,399",0.278,SC
Bharuch,Mansukhbhai Dhanjibhai Vasava,Male,BJP,Gujarat,Post Graduate,"15,22,113","11,49,725",0.76,"3,34,214",0.291,GEN
Bhavnagar,Bharati Dhirubhai Shyal,Female,BJP,Gujarat,Graduate Professional,"17,34,124","10,41,279",0.61,"3,29,519",0.316,GEN
Bhilwara,Subhash Chandra Baheria,Male,BJP,Rajasthan,Graduate,"19,58,631","13,10,513",0.678,"6,12,000",0.467,GEN
Bhind,Sandhya Ray,Female,BJP,Madhya Pradesh,Post Graduate,"17,11,977","9,60,687",0.564,"1,99,885",0.208,SC
Bhiwandi,Kapil Moreshwar Patil,Male,BJP,Maharashtra,Graduate,"17,85,952","10,05,172",0.572,"1,56,329",0.156,GEN
Bhiwani-Mahendragarh,Dharambir Singh,Male,BJP,Haryana,Graduate,"15,66,494","11,61,115",0.743,"4,44,463",0.383,GEN
Bhongir,Komati Reddy Venkat Reddy,Male,INC,Telangana,12th Pass,"15,44,683","12,12,631",0.793,5219,0.004,GEN
Bhopal,Pragya Singh Thakur,Female,BJP,Madhya Pradesh,Post Graduate,"20,75,376","14,07,954",0.681,"3,64,822",0.259,GEN
Bhubaneshwar,Aparajita Sarangi,Female,BJP,Odisha,Graduate,"16,00,900","10,05,215",0.632,23839,0.024,GEN
Bidar,Bhagwanth Khuba,Male,BJP,Karnataka,Graduate Professional,"17,40,232","11,17,167",0.643,"1,16,834",0.105,GEN
Bijapur,Ramesh Chandappa Jigajinagi,Male,BJP,Karnataka,Graduate,"17,77,109","11,11,354",0.632,"2,58,038",0.232,SC
Bijnor,Malook Nagar,Male,Bahujan Samaj Party,Uttar Pradesh,Graduate,"16,19,514","11,00,763",0.682,69941,0.064,GEN
Bikaner,Arjun Ram Meghwal,Male,BJP,Rajasthan,Post Graduate,"17,93,022","10,99,598",0.621,"2,64,081",0.24,SC
Bilaspur,Arun Sao,Male,BJP,Chhattisgarh,Graduate Professional,"18,11,606","12,09,434",0.67,"1,41,763",0.117,GEN
Birbhum,Satabdi Roy (Banerjee),Female,TMC,West Bengal,Graduate,"15,87,802","14,49,423",0.921,88924,0.061,GEN
Bishnupur,Khan Saumitra,Male,BJP,West Bengal,12th Pass,"17,40,964","14,20,648",0.824,78047,0.055,SC
Bolangir,Sangeeta Kumari Singh Deo,Female,BJP,Odisha,Graduate,"16,77,774","13,06,705",0.788,19516,0.015,GEN
Bolpur,Asit Kumar Mal,Male,TMC,West Bengal,10th Pass,"18,64,137","14,61,269",0.791,"1,06,402",0.073,SC
Bulandshahr,Bhola Singh,Male,BJP,Uttar Pradesh,Graduate,"17,59,305","11,23,629",0.642,"2,90,057",0.258,SC
Buldhana,Prataprao Jadhav,Male,Shiv Sena,Maharashtra,12th Pass,"19,77,994","11,20,359",0.57,"1,33,287",0.119,GEN
Burdwan - Durgapur,S.S. Ahluwalia,Male,BJP,West Bengal,Graduate Professional,"19,05,750","14,33,007",0.762,2439,0.002,GEN
Buxar,Ashwini Kumar Choubey,Male,BJP,Bihar,Graduate,"18,06,004","9,86,861",0.556,"1,17,609",0.119,GEN
Chalakudy,Benny Behanan,Male,INC,Kerala,Graduate,"11,63,476","9,90,224",0.858,"1,32,274",0.134,GEN
Chamrajanagar,V. Srinivas Prasad,Male,BJP,Karnataka,Post Graduate,"16,69,209","12,70,658",0.769,1817,0.001,SC
Chandauli,Mahendra Nath Pandey,Male,BJP,Uttar Pradesh,Doctorate,"16,96,059","10,84,961",0.646,13959,0.013,GEN
Chandigarh,Kirron Anupam Kher,Female,BJP,Chandigarh,Post Graduate,"6,15,214","4,56,568",0.749,46970,0.103,GEN
Chandni Chowk,Harsh Vardhan,Male,BJP,Delhi,Post Graduate,"14,47,228","9,80,390",0.681,"2,28,145",0.233,GEN
Chandrapur,Balubhau (Alias Suresh Narayan) Dhannorkar,Male,INC,Maharashtra,12th Pass,"18,46,431","12,38,474",0.677,44763,0.036,GEN
Chatra,Sunil Kumar Singh,Male,BJP,Jharkhand,Post Graduate,"13,75,612","9,25,937",0.679,"3,77,871",0.408,GEN
Chelvella,Gaddam Ranjith Reddy,Male,TRS,Telangana,Post Graduate,"23,02,163","13,00,194",0.569,14317,0.011,GEN
Chennai Central,Dayanidhi Maran,Male,DMK,TamilNadu,Graduate,"13,16,388","7,85,450",0.607,"3,01,520",0.384,GEN
Chennai North,V. Kalanidhi,Male,DMK,TamilNadu,Post Graduate,"14,44,753","9,55,545",0.672,"4,61,518",0.483,GEN
Chennai South,Sumathy Thamizhachi Thangapandian,Male,DMK,TamilNadu,Doctorate,"19,16,378","11,25,857",0.596,"2,62,223",0.233,GEN
Chhindwara,Nakul Nath,Male,INC,Madhya Pradesh,Graduate,"14,80,503","12,48,031",0.857,37536,0.03,GEN
Chhota Udaipur,Gitaben Vajesingbhai Rathva,Female,BJP,Gujarat,12th Pass,"14,33,397","12,32,459",0.883,"3,77,943",0.307,ST
Chidambaram,Thirumaa Valavan Thol,Male,Viduthalai Chiruthaigal Katchi,TamilNadu,Doctorate,"14,59,769","11,53,192",0.801,3219,0.003,SC
Chikkballapur,B.N. Bache Gowda,Male,BJP,Karnataka,Graduate Professional,"18,04,143","13,86,963",0.773,"1,82,110",0.131,GEN
Chikkodi,Annasaheb Shankar Jolle,Male,BJP,Karnataka,12th Pass,"15,74,203","12,17,549",0.78,"1,18,877",0.098,GEN
Chitradurga,A. Narayanaswamy,Male,BJP,Karnataka,Graduate,"17,36,643","12,45,950",0.72,80178,0.064,SC
Chittoor,N. Reddeppa,Female,YSRCP,Andhra Pradesh,Post Graduate,"14,30,405","13,19,472",0.937,"1,37,271",0.104,
Chittorgarh,C. P. Joshi,Male,BJP,Rajasthan,Graduate,"19,82,095","14,58,760",0.745,"5,76,247",0.395,GEN
Churu,Rahul Kaswan,Male,BJP,Rajasthan,Graduate,"19,62,475","13,28,422",0.682,"3,34,402",0.252,GEN
Coimbatore,P.R. Natarajan,Male,CPI(M),TamilNadu,12th Pass,"19,09,712","12,50,885",0.667,"1,79,143",0.143,GEN
Coochbehar,Nisith Pramanik,Male,BJP,West Bengal,8th Pass,"16,87,773","15,24,683",0.912,54231,0.036,SC
Cuddalore,T.R.V.S. Ramesh,Male,DMK,TamilNadu,Graduate Professional,"13,42,320","10,43,202",0.784,"1,43,983",0.138,GEN
Cuttack,Bhartruhari Mahtab,Male,Biju Janata Dal,Odisha,Post Graduate,"14,60,895","10,59,490",0.73,"1,21,201",0.114,GEN
Dadra and Nagar Haveli,Mohanbhai Delkar,Male,Independent,Dadra and Nagar Haveli,Graduate,"1,96,617","1,98,983",1.027,9001,0.045,GEN
Dahod,Jaswantsinh Sumanbhai Bhabhor,Male,BJP,Gujarat,Graduate Professional,"15,42,941","10,63,212",0.71,"1,27,596",0.12,ST
Dakshina Kannada,Nalin Kumar Kateel,Male,BJP,Karnataka,10th Pass,"16,98,859","13,45,039",0.796,"2,74,621",0.204,GEN
Daman and Diu,Lalubhai Babubhai Patel,Male,BJP,Daman and Diu,8th Pass,"1,11,827",87469,0.796,9942,0.114,GEN
Damoh,Prahlad Singh Patel,Male,BJP,Madhya Pradesh,Graduate Professional,"17,37,702","11,64,226",0.674,"3,53,411",0.304,GEN
Darbhanga,Gopal Jee Thakur,Male,BJP,Bihar,Post Graduate,"16,44,671","9,64,996",0.599,"2,67,979",0.278,GEN
Darjeeling,Raju Bista,Male,BJP,West Bengal,Graduate,"15,19,531","12,67,270",0.841,"4,13,443",0.326,GEN
Dausa,Jaskaur Meena,Female,BJP,Rajasthan,Post Graduate,"16,92,217","10,62,834",0.632,78444,0.074,ST
Davanagere,Gowdar Mallikarjunappa Siddeshwara,Male,BJP,Karnataka,10th Pass,"16,13,781","11,94,586",0.742,"1,69,702",0.142,GEN
Deoria,Ramapati Ram Tripathi,Male,BJP,Uttar Pradesh,Graduate Professional,"17,51,752","10,15,363",0.587,"2,49,931",0.246,GEN
Dewas,Mahendra Singh Solanky,Male,BJP,Madhya Pradesh,Graduate Professional,"17,18,488","13,98,946",0.819,"3,72,249",0.266,SC
Dhanbad,Pashupati Nath Singh,Male,BJP,Jharkhand,Graduate,"20,50,314","12,52,817",0.613,"4,86,194",0.388,GEN
Dhar,Chhatar Singh Darbar,Male,BJP,Madhya Pradesh,Post Graduate,"17,52,846","13,44,132",0.777,"1,56,029",0.116,ST
Dharmapuri,DNV Senthilkumar. S.,Male,DMK,TamilNadu,Post Graduate,"14,53,257","12,23,205",0.851,70753,0.058,GEN
Dharwad,Pralhad Venkatesh Joshi,Male,BJP,Karnataka,Graduate,"16,87,290","12,13,505",0.721,"2,05,072",0.169,GEN
Dhaurahra,Rekha Verma,Female,BJP,Uttar Pradesh,12th Pass,"16,04,211","10,63,840",0.67,"1,60,611",0.151,GEN
Dhenkanal,Mahesh Sahoo,Male,Biju Janata Dal,Odisha,12th Pass,"14,61,182","11,31,522",0.782,35412,0.031,GEN
Dhubri,Badruddin Ajmal,Male,All India United Democratic Front,Assam,Post Graduate,"17,99,561","16,85,005",0.941,"2,26,258",0.134,GEN
Dhule,Subhash Ramrao Bhamre,Male,BJP,Maharashtra,Post Graduate,"17,87,801","10,85,038",0.608,"2,29,243",0.211,GEN
Diamond Harbour,Abhishek Banerjee,Male,TMC,West Bengal,Graduate,"18,73,955","14,09,002",0.761,"3,20,594",0.228,GEN
Dibrugarh,Rameswar Teli,Male,BJP,Assam,10th Pass,"12,65,748","10,15,748",0.819,"3,64,566",0.359,GEN
Dindigul,P. Velusamy,Male,DMK,TamilNadu,Illiterate,"15,18,633","11,60,046",0.773,"5,38,972",0.465,GEN
Dindori,Bharti Pravin Pawar,Female,BJP,Maharashtra,Graduate Professional,"16,51,955","11,37,631",0.694,"1,98,779",0.175,ST
Domariyaganj,Jagdambika Pal,Male,BJP,Uttar Pradesh,Post Graduate,"18,94,047","9,85,269",0.526,"1,05,321",0.107,GEN
Dum Dum,Saugata Roy,Male,TMC,West Bengal,Post Graduate,"16,99,710","12,04,660",0.717,53002,0.044,GEN
Dumka,Sunil Soren,Male,BJP,Jharkhand,12th Pass,"13,49,843","10,25,968",0.771,47590,0.046,ST
Durg,Vijay Baghel,Male,BJP,Chhattisgarh,Post Graduate,"18,78,677","13,91,996",0.743,"3,91,978",0.282,GEN
East Delhi,Manoj Tiwari,Male,BJP,Delhi,12th Pass,"18,29,578","12,57,821",0.69,"3,91,222",0.311,GEN
Eluru,Kotagiri Sridhar,Female,YSRCP,Andhra Pradesh,Graduate,"14,18,277","13,27,923",0.953,"1,65,925",0.125,
Ernakulam,Hibi Eden,Male,INC,Kerala,Graduate,"11,90,575","9,67,203",0.817,"1,69,153",0.175,GEN
Erode,A. Ganeshamurthi,Male,DMK,TamilNadu,Graduate,"14,27,534","10,67,863",0.758,"2,10,618",0.197,GEN
Etah,Rajveer Singh,Male,BJP,Uttar Pradesh,Graduate Professional,"15,87,949","9,99,607",0.633,"1,22,670",0.123,GEN
Etawah,Ram Shankar Katheria,Male,BJP,Uttar Pradesh,Doctorate,"17,14,935","10,27,815",0.603,64437,0.063,SC
Faizabad,Lallu Singh,Male,BJP,Uttar Pradesh,Post Graduate,"17,83,699","10,87,121",0.615,65477,0.06,GEN
Faridabad,Krishan Pal Gurjar,Male,BJP,Haryana,Graduate Professional,"19,26,323","13,27,295",0.692,"6,38,239",0.481,GEN
Faridkot,Mohammad Sadique,Male,INC,Punjab,5th Pass,"15,15,062","9,74,947",0.656,83256,0.085,SC
Farrukhabad,Mukesh Rajput,Male,BJP,Uttar Pradesh,Graduate,"16,61,488","10,02,953",0.608,"2,21,702",0.221,GEN
Fatehgarh Sahib,Amar Singh,Male,INC,Punjab,Post Graduate,"14,70,008","9,85,948",0.68,93898,0.095,SC
Fatehpur,Niranjan Jyoti,Male,BJP,Uttar Pradesh,12th Pass,"17,83,535","10,43,655",0.593,"1,98,205",0.19,GEN
Fatehpur Sikri,Rajkumar Chahar,Male,BJP,Uttar Pradesh,Graduate,"16,60,405","10,37,151",0.631,"4,95,065",0.477,GEN
Ferozpur,Sukhbir Singh Badal,Male,SAD,Punjab,Post Graduate,"15,87,296","11,72,033",0.748,"1,98,850",0.17,GEN
Firozabad,Chandrasen Jadon,Male,BJP,Uttar Pradesh,Graduate Professional,"16,98,385","10,75,866",0.637,28781,0.027,GEN
Gadchiroli-Chimur,Ashok Mahadeorao Nete,Male,BJP,Maharashtra,12th Pass,"15,22,662","11,42,698",0.767,77526,0.068,ST
Gandhinagar,Amit Shah,Male,BJP,Gujarat,12th Pass,"18,74,564","12,84,090",0.693,"5,57,014",0.434,GEN
Ganganagar,Nihal Chand Chauhan,Male,BJP,Rajasthan,Graduate,"19,01,409","14,51,765",0.772,"4,06,978",0.28,SC
Garhwal,Tirath Singh Rawat,Male,BJP,Uttarakhand,Post Graduate,"12,95,238","7,42,784",0.583,"3,02,669",0.407,GEN
Gauhati,Queen Oja,Female,BJP,Assam,Graduate,"19,30,145","17,63,757",0.919,"3,45,606",0.196,GEN
Gautam Buddh Nagar,Mahesh Sharma,Male,BJP,Uttar Pradesh,Graduate Professional,"21,07,718","13,92,952",0.665,"3,36,922",0.242,GEN
Gaya,Vijay Kumar,Male,JDU,Bihar,12th Pass,"16,98,772","9,57,248",0.581,"1,52,426",0.159,SC
Ghatal,Adhikari Deepak (dev),Male,AITC,West Bengal,Others,"19,31,027","14,88,818",0.778,"1,07,973",0.073,GEN
Ghaziabad,V. K. Singh,Male,BJP,Uttar Pradesh,Doctorate,"25,73,715","15,24,456",0.595,"5,01,500",0.329,GEN
Ghazipur,Afzal Ansari,Male,Bahujan Samaj Party,Uttar Pradesh,Post Graduate,"18,32,844","11,05,627",0.607,"1,19,392",0.108,GEN
Ghosi,Atul Rai,Male,Bahujan Samaj Party,Uttar Pradesh,Graduate,"19,45,291","11,40,781",0.589,"1,22,568",0.107,GEN
Giridih,Chandra Prakash Choudhary,Male,AJSU Party,Jharkhand,Graduate,"16,25,806","11,06,918",0.693,"2,48,347",0.224,GEN
Godda,Nishikant Dubey,Male,BJP,Jharkhand,Doctorate,"16,83,948","11,94,036",0.72,"1,84,227",0.154,GEN
Gonda,Kirti Vardhan Singh,Male,BJP,Uttar Pradesh,Post Graduate,"17,44,625","9,23,816",0.534,"1,66,360",0.18,GEN
Gopalganj,Alok Kumar Suman,Male,JDU,Bihar,Post Graduate,"18,32,200","10,24,876",0.588,"2,86,434",0.279,SC
Gorakhpur,Ravi Kishan,Male,BJP,Uttar Pradesh,12th Pass,"19,60,935","11,84,635",0.608,"3,01,664",0.255,GEN
Gulbarga,Umesh G. Jadhav,Male,BJP,Karnataka,Post Graduate,"19,20,070","11,89,361",0.625,95452,0.08,SC
Guna,Krishna Pal Singh,Male,BJP,Madhya Pradesh,Graduate Professional,"16,31,451","11,78,423",0.73,"1,25,549",0.107,GEN
Guntur,Jayadev Galla,Male,TDP,Andhra Pradesh,Graduate,"14,86,993","13,51,474",0.913,4205,0.003,
Gurdaspur,Ajay Singh Dharmendra Deol,Male,BJP,Punjab,Others,"15,35,937","11,03,887",0.725,82459,0.075,GEN
Gurugram,Rao Inderjit Singh,Male,BJP,Haryana,Graduate Professional,"19,90,711","14,46,509",0.729,"3,86,256",0.267,GEN
Gwalior,Vivek Narayan Shejwalkar,Male,BJP,Madhya Pradesh,Graduate Professional,"19,38,511","11,96,096",0.62,"1,46,842",0.123,GEN
Hajipur,Pashu Pati Kumar Paras,Male,LJSP,Bihar,Graduate Professional,"18,10,137","10,06,817",0.57,"2,05,449",0.204,SC
Hamirpur,Anurag Singh Thakur,Male,BJP,Himachal Pradesh,Graduate,"12,47,699","9,88,765",0.799,"3,99,572",0.404,GEN
Hamirpur,Pushpendra Singh Chandel,Male,BJP,Uttar Pradesh,Post Graduate,"17,15,940","10,89,778",0.644,"2,48,652",0.228,GEN
Hardoi,Jai Prakash Rawat,Male,BJP,Uttar Pradesh,Graduate,"17,75,274","10,57,558",0.602,"1,32,474",0.125,SC
Hardwar,Ramesh Pokhriyal Nishank,Male,BJP,Uttarakhand,Doctorate,"17,85,889","12,71,030",0.715,"2,58,729",0.204,GEN
Hassan,Prajwal Ravanna,Male,JDS,Karnataka,Graduate Professional,"16,30,952","12,77,552",0.791,"1,41,324",0.111,GEN
Hathras,Rajvir Singh Diler,Male,BJP,Uttar Pradesh,12th Pass,"17,99,499","11,50,294",0.644,"2,60,208",0.226,SC
Hatkanangle,Sambhajirao Mane Dhairyasheel,Male,Shiv Sena,Maharashtra,Graduate,"16,93,449","12,52,211",0.744,96039,0.077,GEN
Haveri,Shivkumar Chanabasappa Udasi,Male,BJP,Karnataka,12th Pass,"16,80,025","12,66,679",0.758,"1,40,882",0.111,GEN
Hazaribagh,Jayant Sinha,Male,BJP,Jharkhand,Post Graduate,"15,18,831","10,80,929",0.717,"4,79,548",0.444,GEN
Hindupur,Kuruva Gorantla Madhav,Male,YSRCP,Andhra Pradesh,Graduate,"14,34,282","13,38,514",0.945,"1,40,748",0.105,
Hingoli,Hemant Patil,Male,Shiv Sena,Maharashtra,Graduate,"16,59,433","11,57,516",0.7,"2,77,856",0.24,GEN
Hisar,Brijendra Singh,Male,BJP,Haryana,Post Graduate,"15,58,281","11,79,869",0.759,"3,14,068",0.266,GEN
Hooghly,Locket Chatterjee,Female,BJP,West Bengal,Graduate,"13,73,449","14,57,842",1.071,73362,0.05,GEN
Hoshangabad,Uday Pratap Singh,Male,BJP,Madhya Pradesh,Graduate,"16,50,087","12,65,869",0.778,"5,53,682",0.437,GEN
Hoshiarpur,Som Prakash,Male,BJP,Punjab,Post Graduate,"15,48,898","9,90,791",0.648,48530,0.049,SC
Howrah,Prasun Banerjee,Male,TMC,West Bengal,Graduate,"17,96,175","12,22,293",0.684,"1,03,695",0.085,GEN
Hyderabad,Asaduddin Owaisi,Male,All India Majlis-E-Ittehadul Muslimeen,Telangana,Graduate Professional,"19,27,685","8,77,872",0.458,"2,82,186",0.321,GEN
Idukki,Dean Kuriakose,Male,INC,Kerala,Post Graduate,"11,60,824","9,19,297",0.797,"1,71,053",0.186,GEN
Indore,Shankar Lalwani,Male,BJP,Madhya Pradesh,Graduate Professional,"22,35,342","16,29,108",0.731,"5,47,754",0.336,GEN
Inner Manipur,Rajkumar Ranjan Singh,Male,BJP,Manipur,Doctorate,"8,55,359","7,59,301",0.891,17755,0.023,GEN
Jabalpur,Rakesh Singh,Male,BJP,Madhya Pradesh,Graduate,"17,67,369","12,63,573",0.717,"4,54,744",0.36,GEN
Jadavpur,Mimi Chakraborty,Female,TMC,West Bengal,Graduate,"19,90,328","14,36,894",0.73,"2,95,239",0.205,GEN
Jagatsinghpur,Rajashree Mallick,Female,Biju Janata Dal,Odisha,Graduate Professional,"15,84,635","12,29,190",0.78,"2,71,655",0.221,SC
Jahanabad,Chandeshwar Prasad,Male,JDU,Bihar,10th Pass,"15,73,907","8,22,065",0.54,1751,0.002,GEN
Jaipur,Ramcharan Bohra,Male,BJP,Rajasthan,12th Pass,"20,43,881","14,56,404",0.716,"4,30,626",0.296,GEN
Jaipur Rural,Rajyavardhan Singh Rathore,Male,BJP,Rajasthan,Graduate,"18,97,332","12,76,693",0.678,"3,93,171",0.308,GEN
Jajpur,Sarmistha Sethi,Female,Biju Janata Dal,Odisha,Post Graduate,"14,13,322","10,92,084",0.778,"1,01,693",0.093,SC
Jalandhar,Santokh Singh Chaudhary,Male,INC,Punjab,Graduate Professional,"15,74,968","10,18,998",0.655,19491,0.019,SC
Jalaun,Bhanu Pratap Singh Verma,Male,BJP,Uttar Pradesh,Post Graduate,"14,70,521","11,29,955",0.777,"1,58,377",0.14,SC
Jalgaon,Unmesh Bhaiyyasaheb Patil,Male,BJP,Maharashtra,Graduate Professional,"18,45,368","10,88,277",0.595,"4,11,617",0.378,GEN
Jalna,Raosaheb Patil Danve,Male,BJP,Maharashtra,Graduate,"17,65,712","12,08,139",0.693,"3,32,815",0.275,GEN
Jalore,Devji Mansingram Patel,Male,BJP,Rajasthan,10th Pass,"16,00,603","13,61,619",0.862,"2,61,110",0.192,GEN
Jalpaiguri,Jayanta Kumar Roy,Male,BJP,West Bengal,Graduate Professional,"16,18,231","15,00,922",0.94,"1,84,004",0.123,SC
Jammu,Jugal Kishore Sharma,Male,BJP,Jammu and Kashmir,10th Pass,"18,48,155","14,78,795",0.802,"3,02,875",0.205,
Jamnagar,Poonamben Hematbhai Maadam,Female,BJP,Gujarat,Graduate,"16,15,693","10,10,965",0.631,"2,36,804",0.234,GEN
Jamshedpur,Bidyut Baran Mahato,Male,BJP,Jharkhand,12th Pass,"16,58,549","11,44,226",0.693,"3,02,090",0.264,GEN
Jamui,Chirag Paswan,Male,LJSP,Bihar,Graduate Professional,"17,09,356","9,49,137",0.578,"2,41,049",0.254,SC
Jangipur,Khalilur Rahaman,Male,TMC,West Bengal,Graduate,"17,13,293","13,04,504",0.768,"2,45,782",0.188,GEN
Janjgir-Champa,Guharam Ajgalley,Male,BJP,Chhattisgarh,Graduate Professional,"18,50,601","12,47,650",0.68,83255,0.067,SC
Jaunpur,Shyam Singh Yadav,Male,Bahujan Samaj Party,Uttar Pradesh,Post Graduate,"17,59,456","10,40,652",0.593,80936,0.078,GEN
Jhalawar-Baran,Dushyant Singh,Male,BJP,Rajasthan,Post Graduate,"18,63,755","13,69,868",0.744,"4,53,928",0.331,GEN
Jhanjharpur,Rampreet Mandal,Male,JDU,Bihar,10th Pass,"18,35,089","10,60,562",0.583,"3,22,951",0.305,GEN
Jhansi,Anurag Sharma,Male,BJP,Uttar Pradesh,Post Graduate,"23,85,972","13,80,890",0.586,"3,65,683",0.265,GEN
Jhargram,Kunar Hembram,Male,BJP,West Bengal,Graduate Professional,"15,22,363","14,06,214",0.935,11767,0.008,ST
Jhunjhunu,Narender Kumar,Male,BJP,Rajasthan,Graduate,"18,69,883","11,98,927",0.646,"3,02,547",0.252,GEN
Jodhpur,Gajendra Singh Shekhawat,Male,BJP,Rajasthan,Post Graduate,"18,88,942","13,46,243",0.719,"2,74,440",0.204,GEN
Jorhat,Topon Kumar Gogoi,Male,BJP,Assam,Post Graduate,"13,19,952","10,57,965",0.811,82653,0.078,GEN
Joynagar,Pratima Mondal,Female,TMC,West Bengal,Post Graduate,"18,05,964","13,56,102",0.757,"3,16,775",0.234,SC
Junagadh,Rajeshbhai Naranbhai Chudasama,Male,BJP,Gujarat,12th Pass,"15,76,209","10,05,224",0.648,"1,50,185",0.149,GEN
Kachchh,Vinod Chavda,Male,BJP,Gujarat,Post Graduate,"19,49,895","10,23,198",0.534,"3,05,513",0.299,SC
Kadapa,Yeduguri Sandinti Avinash Reddy,Male,YSRCP,Andhra Pradesh,Post Graduate,"13,25,963","12,28,242",0.937,"3,80,726",0.31,
Kairana,Pradeep Kumar Choudhary,Male,BJP,Uttar Pradesh,Post Graduate,"15,99,120","11,24,047",0.705,92160,0.082,GEN
Kaiserganj,Brij Bhushan Sharan Singh,Male,BJP,Uttar Pradesh,Graduate Professional,"17,79,143","9,81,400",0.559,"2,61,601",0.267,GEN
Kakinada,Vanga Geethaviswanath,Female,YSRCP,Andhra Pradesh,Post Graduate,"14,12,538","12,34,655",0.886,25738,0.021,
Kalahandi,Basanta Kumar Panda,Male,BJP,Odisha,12th Pass,"15,63,160","12,28,292",0.799,26814,0.022,GEN
Kaliabor,Gaurav Gogoi,Male,INC,Assam,Post Graduate,"16,63,513","14,24,687",0.866,"2,09,994",0.147,GEN
Kallakurichi,Gautham Sigamani Pon,Male,DMK,TamilNadu,Post Graduate,"14,90,339","12,04,375",0.816,"3,99,919",0.332,GEN
Kalyan,Shrikant Eknath Shinde,Male,Shiv Sena,Maharashtra,Post Graduate,"18,61,577","8,90,313",0.485,"3,44,343",0.387,GEN
Kancheepuram,G. Selvam,Male,DMK,TamilNadu,Post Graduate,"16,01,060","12,37,612",0.787,"2,86,632",0.232,SC
