ï»¿Constituency,Name,Gender,Party,State,Education,Electors,Votes,Turn out,Margin,Margin %,Type
Supaul,Dileshwar Kamait,Male,JDU,Bihar,Graduate,"16,80,576","11,10,805",0.667,"2,66,853",0.24,GEN
Surat,Darshana Vikram Jardosh,Female,BJP,Gujarat,Graduate,"16,06,425","10,68,412",0.672,"5,48,230",0.513,GEN
Surendranagar,Mahendrabhai Munjapara,Male,BJP,Gujarat,Post Graduate,"18,12,702","10,77,726",0.599,"2,77,437",0.257,GEN
Surguja,Renuka Singh Saruta,Female,BJP,Chhattisgarh,12th Pass,"16,17,451","12,80,689",0.81,"1,57,873",0.123,ST
Tamluk,Dibyendu Adhikari,Male,TMC,West Bengal,Graduate,"18,39,886","14,46,499",0.792,"1,90,165",0.131,GEN
Tehri Garhwal,Mala Rajya Laxmi Shah,Female,BJP,Uttarakhand,12th Pass,"14,39,343","8,76,069",0.613,"3,00,586",0.343,GEN
Tenkasi,Dhanush M Kumar,Male,DMK,TamilNadu,Post Graduate,"14,72,742","10,65,569",0.733,"1,20,286",0.113,SC
Tezpur,Pallab Lochan Das,Male,BJP,Assam,Graduate,"14,37,189","11,90,196",0.839,"2,42,841",0.204,GEN
Thane,Rajan Baburao Vichare,Male,Shiv Sena,Maharashtra,12th Pass,"21,78,348","11,70,518",0.547,"4,12,145",0.352,GEN
Thanjavur,S.S. Palanimanickam,Male,DMK,TamilNadu,Graduate Professional,"14,43,417","10,59,223",0.744,"3,68,129",0.348,GEN
Theni,P. Raveendranath Kumar,Male,AIADMK,TamilNadu,Post Graduate,"18,00,597","11,73,489",0.658,76693,0.065,GEN
Thiruchirapalli,Su Thirunavukkarasar,Male,INC,TamilNadu,Doctorate,"18,82,738","14,08,189",0.758,"3,56,955",0.253,SC
Thirunelveli,S. Gnanathiraviam,Male,DMK,TamilNadu,Graduate Professional,"13,30,409","10,10,180",0.763,99989,0.099,GEN
Thiruvallur,K. Jayakumar,Male,INC,TamilNadu,Post Graduate,"14,02,826","9,91,263",0.713,"3,47,209",0.35,GEN
Thiruvanamalai,C.N. Annadurai,Male,DMK,TamilNadu,10th Pass,"12,68,671","10,41,869",0.825,93633,0.09,GEN
Thiruvanathapuram,Shashi Tharoor,Male,INC,Kerala,Doctorate,"17,17,393","10,96,712",0.645,"3,48,059",0.317,SC
Thoothukudi,Kanimozhi Karunanidhi,Female,DMK,TamilNadu,10th Pass,"14,89,425","10,48,062",0.713,"4,59,286",0.438,GEN
Thrissur,T.N. Prathapan,Male,INC,Kerala,12th Pass,"15,26,692","10,39,761",0.688,"1,85,457",0.178,GEN
